"avg_type","id","player","team","pos","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","pos_rank","tier"
"average","0527",NA,"CAR","DST",91.61,8.77598997264696,1.73666666666666,80.16,99.47,-28.1666666666667,-25.4025,-38.7125,193,184,220,30,18
"robust","0530",NA,"SF","DST",91,21.79422,0,60.04,111.64,-25.955,-45.5225,-26.5425,194,225,185,32,20
"average","0505",NA,"NYJ","DST",89.8733333333333,21.9988181500734,0.913333333333341,67.24,114.813333333333,-29.9033333333333,-38.3225,-23.3691666666667,196,208,174,31,19
"average","0530",NA,"SF","DST",88.96,22.7420975285922,0,60.04,111.64,-30.8166666666667,-45.5225,-26.5425,199,225,185,32,19
"average","16414","Brandon Aubrey","DAL","K",175.524254088767,6.42466054071508,10.9335480188975,167.812388621669,184.376308812265,28.4349748362862,39.6132741378472,23.6564076643057,49,45,52,1,1
"robust","16414","Brandon Aubrey","DAL","K",174.95504795323,1.87493474657784,10.1834204598397,167.812388621669,184.376308812265,25.5550479532295,39.6132741378472,23.6564076643057,49,45,52,1,1
"weighted","16414","Brandon Aubrey","DAL","K",175.422775287974,7.97560713249454,12.1404008401649,165.749375948863,186.217104968937,29.869678970325,39.721376825457,22.9825647980308,49,43,54,1,1
"average","12437","Jason Myers","SEA","K",164.590706069869,16.0020874264456,0.184735804943784,143.921667884154,184.68340861188,17.5014268173887,15.7225534003329,23.9635074639206,63,74,51,2,1
"weighted","12860","Ka'imi Fairbairn","HOU","K",163.282374447809,10.7785374049574,1.53061720033918,154.520219510636,180.105517675015,17.7292781301601,28.4922203872299,16.8709775041093,63,53,62,2,1
"average","12860","Ka'imi Fairbairn","HOU","K",164.405970264926,8.89177252663541,2.64584874965283,155.248458213256,176.868062449198,17.3166910124449,27.0493437294352,16.1481613012391,64,56,62,3,1
"robust","12437","Jason Myers","SEA","K",164.77162749339,14.7982265571242,0.12268467844342,143.921667884154,184.68340861188,15.3716274933899,15.7225534003329,23.9635074639206,67,74,51,2,1
"weighted","12437","Jason Myers","SEA","K",161.75175724747,18.6780568534457,1.04547849302097,139.312933716411,188.407754268563,16.1986609298209,13.2849345930056,25.1732140976574,67,78,50,3,1
"robust","15979","Cameron Dicker","LAC","K",164.648942814946,2.5157897634238,1.78746254962797,146.2475,168.766367108382,15.2489428149465,18.0483855161787,8.04646596042267,68,68,81,3,1
"average","15979","Cameron Dicker","LAC","K",161.760121515273,10.2189487247264,12.4645290112855,146.2475,168.766367108382,14.6708422627921,18.0483855161787,8.04646596042267,71,68,81,4,2
"robust","12860","Ka'imi Fairbairn","HOU","K",162.861480265319,9.5766225480923,10.7143224983282,155.248458213256,176.868062449198,13.4614802653185,27.0493437294352,16.1481613012391,72,56,62,4,2
"weighted","15979","Cameron Dicker","LAC","K",160.706278754449,12.2756202675911,11.6838487366338,140.671259802593,169.486102560192,15.1531824368,14.6432606791877,6.2515623892858,72,75,83,4,1
"weighted","16681","Will Reichard","MIN","K",149.022430017815,7.9768905549826,1.76940875738265,140.670214240005,160.178611219137,3.46933370016612,14.6422151165997,-3.05592895176954,96,76,107,5,2
"average","16681","Will Reichard","MIN","K",149.295592503987,7.83269229197421,1.19013947490711,141.146607256778,158.998290271132,2.20631325150657,12.947492772957,-1.72161087682676,98,78,106,5,2
"robust","16843","Harrison Mevis","LAR","K",152.14715776699,6.49207149466021,0.85816461513275,125.67982920712,159.164273300971,2.74715776699028,-2.51928527670152,-1.5556278469883,98,111,105,5,2
"weighted","13354","Harrison Butker","KC","K",147.253021260432,11.541544570865,1.26769066134852,129.14501143377,157.850180812228,1.69992494278347,3.11701231036459,-5.38435935867776,98,92,112,6,2
"robust","14717","Chase McLaughlin","TB","K",151.288993151858,3.15384872978941,1.71178728069947,128.199114483821,158.209670493066,1.88899315185753,0,-2.51023065489289,100,103,112,6,2
"weighted","14717","Chase McLaughlin","TB","K",145.985330599084,15.160286337232,0.432234281434944,121.972132914295,159.696721533032,0.432234281434944,-4.05586620911085,-3.53781863787421,100,108,109,7,2
"average","14717","Chase McLaughlin","TB","K",148.10545302908,12.9406668548549,0.644044739226985,128.199114483821,158.209670493066,1.01617377659946,0,-2.51023065489289,101,103,112,6,2
"weighted","16843","Harrison Mevis","LAR","K",145.553096317649,16.7146295028158,0.73119904178219,122.969876336085,160.064012839043,0,-3.0581227873209,-3.1705273318631,101,105,108,8,2
"average","16843","Harrison Mevis","LAR","K",147.461408289853,13.9507935020044,0.372129037372474,125.67982920712,159.164273300971,0.372129037372474,-2.51928527670152,-1.5556278469883,102,111,105,7,2
"robust","13719","Eddy Pineiro","SF","K",149.577205871158,1.51504628270053,0.177205871158066,125.136117470739,151.201558093063,0.177205871158066,-3.0629970130819,-9.51834305489606,102,113,126,7,2
"weighted","16846","Jake Bates","DET","K",144.821897275867,15.9849647695521,0.103626107864756,123.295604199552,164.212936488566,-0.73119904178219,-2.73239492385342,0.9783963176599,102,104,96,9,2
"average","16846","Jake Bates","DET","K",147.089279252481,13.571559479783,0.0781673246921741,127.402802275755,161.691987066198,0,-0.796312208066141,0.97208591823869,103,106,98,8,2
"robust","16681","Will Reichard","MIN","K",149.4,8.07868326196172,0.724110251450696,141.146607256778,158.998290271132,0,12.947492772957,-1.72161087682676,103,78,106,8,2
"weighted","11945","Cairo Santos","CHI","K",144.718271168002,14.0859082821592,0.477681818062081,126.027999123406,163.234540170906,-0.834825149646946,0,0,103,101,101,10,2
"average","13354","Harrison Butker","KC","K",147.011111927789,11.4511859531532,0.18700048261519,131.899683881367,156.982400386847,-0.0781673246921741,3.70056939754559,-3.73750076111196,104,91,114,9,2
"robust","13354","Harrison Butker","KC","K",148.675889748549,5.03359045880079,0.362285909395553,131.899683881367,156.982400386847,-0.724110251450696,3.70056939754559,-3.73750076111196,104,91,114,9,3
"robust","16846","Jake Bates","DET","K",148.313603839154,11.473877308751,0.937660926070748,127.402802275755,161.691987066198,-1.08639616084625,-0.796312208066141,0.97208591823869,105,106,98,10,3
"average","11945","Cairo Santos","CHI","K",146.824111445173,12.0736839448193,1.83733282684616,129.935907738095,160.719901147959,-0.265167807307364,1.73679325427398,0,106,97,103,10,2
"weighted","16680","Cam Little","JAC","K",144.24058934994,16.1880854616585,0.410785678478277,119.751298943116,161.129763250022,-1.31250696770903,-6.27670018028934,-2.10477692088443,106,112,105,11,2
"weighted","17222","Tyler Loop","BAL","K",143.829803671461,21.6940624830774,0.926771344812636,110.935925814441,165.459364383387,-1.7232926461873,-15.092073308965,2.22482421248094,107,127,92,12,2
"average","13719","Eddy Pineiro","SF","K",144.986778618327,13.0272968306485,0.34054030415092,125.136117470739,151.201558093063,-2.10250063415353,-3.0629970130819,-9.51834305489606,108,113,126,11,2
"robust","12956","Wil Lutz","DEN","K",147.375942913083,3.68006868698971,0.407928102992287,120.055977165233,150.832895198937,-2.024057086917,-8.14313731858805,-9.88700594902201,109,124,129,11,3
"weighted","13719","Eddy Pineiro","SF","K",142.903032326649,15.2531872722236,1.19189018885879,117.687612388722,151.424417222246,-2.65006399099994,-8.34038673468409,-11.8101229486597,109,116,125,13,2
"average","16680","Cam Little","JAC","K",144.646238314176,16.5572860795284,0.979864100339739,123.071359386973,160.327391570881,-2.44304093830445,-5.12775509684809,-0.392509577077931,110,120,104,12,2
"average","17222","Tyler Loop","BAL","K",143.666374213836,21.5898204941271,2.13896161891304,115.449966363045,163.930236152678,-3.42290503864419,-12.7491481207764,3.21033500471924,111,136,92,13,2
"robust","11945","Cairo Santos","CHI","K",146.968014810091,8.15121125,0.788359637676933,129.935907738095,160.719901147959,-2.43198518990928,1.73679325427398,0,111,97,103,12,3
"weighted","12956","Wil Lutz","DEN","K",141.71114213779,15.6940767511811,4.98157044592921,115.804531026525,151.092344604776,-3.84195417985873,-10.2234680968807,-12.1421955661303,111,118,126,14,2
"robust","16680","Cam Little","JAC","K",146.179655172414,11.7634596413793,0.186655172413793,123.071359386973,160.327391570881,-3.22034482758622,-5.12775509684809,-0.392509577077931,114,120,104,13,3
"robust","17222","Tyler Loop","BAL","K",145.993,13.4056574639558,0.793614563712623,115.449966363045,163.930236152678,-3.40700000000001,-12.7491481207764,3.21033500471924,115,136,92,14,3
"average","12956","Wil Lutz","DEN","K",141.527412594923,15.6953572476941,4.52557314631898,120.055977165233,150.832895198937,-5.56186665755723,-8.14313731858805,-9.88700594902201,117,124,129,14,2
"robust","16896","Spencer Shrader","IND","K",145.199385436287,16.1500079123622,4.11239410680761,62.6724002483145,162.904667600741,-4.20061456371263,-65.5267142355067,2.18476645278193,119,274,96,15,3
"weighted","17220","Andres Borregales","NE","K",136.729571691861,8.98292127601534,1.07719376234556,124.897221003251,148.554991234691,-8.82352462578794,-1.1307781201543,-14.679548936215,120,102,131,15,2
"weighted","17668","Trey Smack","GB","K",135.652377929515,25.9872009597456,0.674434894583385,95.4641851520107,161.255372740149,-9.9007183881335,-30.563813971395,-1.97916743075706,121,165,104,16,2
"weighted","14983","Tyler Bass","BUF","K",134.977943034932,16.8896090005961,0.625525219424333,107.089462901644,145.214288045607,-10.5751532827169,-18.9385362217616,-18.0202521252991,122,139,139,17,2
"weighted","11936","Chris Boswell","PIT","K",134.352417815508,5.99874930705604,0.112727167127048,127.305444757795,139.687477133268,-11.2006785021412,1.27744563438934,-23.5470630376377,123,100,152,18,2
"weighted","15368","Evan McPherson","CIN","K",134.23969064838,17.9922549467353,1.36312186936468,106.76806220303,153.141447115168,-11.3134056692683,-19.2599369203761,-10.093093055738,125,140,122,19,2
"average","17220","Andres Borregales","NE","K",137.001839448604,9.2920883478904,1.89187735710121,125.9642,147.504514431586,-10.0874398038762,-2.23491448382127,-13.215386716373,128,109,140,15,3
"robust","14983","Tyler Bass","BUF","K",141.08699132948,4.41421208923965,1.20363556083998,111.7384,144.900574507188,-8.31300867052025,-16.4607144838212,-15.8193266407708,128,152,146,16,4
"weighted","8851","Nick Folk","ATL","K",132.876568779016,14.8936509216522,1.62965418846471,113.219904136945,150.567328135248,-12.6765275386329,-12.8080949864611,-12.6672120356583,128,122,128,20,3
"robust","17668","Trey Smack","GB","K",139.88335576864,2.58136911582761,2.37838395292161,101.7722,158.229684520663,-9.51664423136023,-26.4269144838213,-2.49021662729615,131,186,111,17,4
"average","17668","Trey Smack","GB","K",135.109962091503,25.7405562449134,0.128545624925522,101.7722,158.229684520663,-11.9793171609774,-26.4269144838213,-2.49021662729615,132,186,111,16,3
"weighted","13303","Jake Elliott","PHI","K",131.246914590551,14.4983642432261,0.0721108265197188,107.942295284237,142.021144013108,-14.3061817270977,-18.0857038391687,-21.2133961577978,132,137,145,21,3
"average","14983","Tyler Bass","BUF","K",134.981416466578,17.0033784819645,0.653888000969289,111.7384,144.900574507188,-12.1078627859029,-16.4607144838212,-15.8193266407708,134,152,146,17,3
"average","11936","Chris Boswell","PIT","K",134.327528465608,5.96532662120731,0.194760767595511,127.424,139.476358095238,-12.7617507868722,-0.775114483821284,-21.2435430527211,135,105,167,18,3
"weighted","13718","Daniel Carlson","NO","K",131.174803764031,18.6374704945602,3.7605690944542,100.537438507528,143.273826542128,-14.3782925536174,-25.4905606158777,-19.9607136287783,135,159,144,22,3
"average","15368","Evan McPherson","CIN","K",134.132767698013,18.0168307586264,1.22992781366025,111.009606442686,150.950169701666,-12.9565115544677,-17.1895080411357,-9.76973144629315,136,155,128,19,3
"robust","13718","Daniel Carlson","NO","K",137.504971815718,4.4478,0.309531454839231,105.453788726287,142.809211707317,-11.8950281842818,-22.745325757534,-17.9106894406421,139,176,153,18,4
"average","16896","Spencer Shrader","IND","K",132.902839884353,44.2738930423568,0.0263898843526817,62.6724002483145,162.904667600741,-14.186439368128,-65.5267142355067,2.18476645278193,140,274,96,20,3
"robust","15368","Evan McPherson","CIN","K",137.195440360879,1.73897942766371,0.36923738833525,111.009606442686,150.950169701666,-12.2045596391211,-17.1895080411357,-9.76973144629315,140,155,128,19,4
"average","8851","Nick Folk","ATL","K",132.87645,14.8549948118096,1.58888021397055,114.814106666667,148.89551,-14.2128292524807,-13.3850078171546,-11.8243911479591,141,141,134,21,3
"robust","17220","Andres Borregales","NE","K",136.826202972544,8.89833231371683,2.36854403385405,125.9642,147.504514431586,-12.5737970274563,-2.23491448382127,-13.215386716373,141,109,140,20,4
"weighted","16896","Spencer Shrader","IND","K",127.414234669577,48.5773957502206,0.637332631116436,45.5105784333987,165.084838077352,-18.1388616480716,-80.5174206900069,1.85029790644597,144,307,94,23,3
"weighted","16444","Blake Grupe","NYJ","K",126.776902038461,14.9299877463448,0.407675907562918,106.6224498447,141.655919832388,-18.776194279188,-19.4055492787062,-21.5786203385181,145,141,147,24,3
"weighted","15369","Riley Patterson","MIA","K",126.369226130898,13.0553139992154,0.709689847775167,105.184699878307,136.19410720409,-19.1838701867509,-20.8432992450988,-27.0404329668159,146,147,165,25,3
"weighted","17726","Drew Stevens","WAS","K",125.659536283123,14.841683345217,0.373059209998772,102.732213825112,139.683958574732,-19.8935600345261,-23.2957852982937,-23.5505815961737,148,151,153,26,3
"weighted","14600","Joey Slye","TEN","K",125.286477073124,14.1368287279378,0.0135751448914903,106.120091058611,139.443450324953,-20.2666192445249,-19.9079080647948,-23.7910898459534,149,145,156,27,3
"weighted","16292","Chad Ryland","ARI","K",125.272901928232,8.08637872442177,8.08357628822706,112.554022211111,131.464747358171,-20.2801943894164,-13.4739769122944,-31.7697928127347,150,124,171,28,4
"average","13303","Jake Elliott","PHI","K",131.287569786029,14.6135079866565,0.396539406625664,111.4794,141.952184805091,-15.8017094664512,-16.7197144838212,-18.7677163428682,151,153,157,22,3
"robust","13303","Jake Elliott","PHI","K",134.45765893869,9.6857561792323,1.00019227202299,111.4794,141.952184805091,-14.9423410613104,-16.7197144838212,-18.7677163428682,151,153,157,21,4
"robust","11936","Chris Boswell","PIT","K",133.457466666667,2.82328772444446,1.51942499999998,127.424,139.476358095238,-15.9425333333334,-0.775114483821284,-21.2435430527211,154,105,167,22,5
"average","13718","Daniel Carlson","NO","K",130.891030379404,18.5991720230046,3.72972332970593,105.453788726287,142.809211707317,-16.1982488730769,-22.745325757534,-17.9106894406421,155,176,153,23,3
"robust","8851","Nick Folk","ATL","K",131.938041666667,17.74321318,1.79176179245283,114.814106666667,148.89551,-17.4619583333333,-13.3850078171546,-11.8243911479591,159,141,134,23,5
"average","16444","Blake Grupe","NYJ","K",127.161307049698,15.1743593187096,0.679671363697395,108.210258579224,141.478002659324,-19.9279722027828,-19.9888559045972,-19.2418984886347,165,165,159,24,3
"weighted","17277","Ryan Fitzgerald","CAR","K",117.189325640005,20.3306988506213,1.33784121174908,84.2541733101812,130.969305580534,-28.3637706776434,-41.7738258132245,-32.2652345903718,166,183,172,29,4
"average","15369","Riley Patterson","MIA","K",126.481635686,13.2069042434927,0.766201113279834,108.340111949686,135.804806894945,-20.6076435664802,-19.8590025341357,-24.9150942530139,168,164,182,25,3
"robust","15369","Riley Patterson","MIA","K",130.146279874214,6.672290898812,1.30813342615357,108.340111949686,135.804806894945,-19.2537201257862,-19.8590025341357,-24.9150942530139,168,164,182,24,5
